train_epoch,200
batch_size,32
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,None
name,densenet121_linear
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,densenet121_linear.csv
model_name,densenet121_linear
6.794116207372363e-05,0.85761,0.85761
6.0667919221325455e-05,0.854103,0.85761
6.703458656774503e-05,0.856208,0.85761
6.992098326994994e-05,0.85574,0.85761
8.028912767071591e-05,0.854103,0.85761
6.334466911921992e-05,0.857143,0.85761
7.526289636843672e-05,0.856675,0.85761
6.509983093939095e-05,0.856909,0.85761
8.571114495535877e-05,0.856208,0.85761
7.269120662011833e-05,0.855974,0.85761
8.428756878754803e-05,0.857143,0.85761
6.199153227226756e-05,0.855974,0.85761
8.402048984420633e-05,0.856909,0.85761
7.840002251562671e-05,0.857143,0.85761
6.898326851497187e-05,0.857377,0.85761
7.30598084280424e-05,0.854103,0.85761
9.239608439329628e-05,0.856208,0.85761
7.933269594317285e-05,0.855272,0.85761
7.492086597692187e-05,0.858312,0.858312
