train_epoch,200
batch_size,64
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
name,resnet18
train_dir,/home/bbb//shicaiwei/data/cassava/train_data
test_dir,/home/bbb//shicaiwei/data/cassava/val_data
log_name,resnet18.csv
model_name,resnet18
4.4877182191877224e-05,0.836568,0.838906
6.536928130619561e-05,0.836334,0.838906
0.00011461506138986616,0.834931,0.838906
7.826901638685767e-05,0.836334,0.838906
5.931473934828346e-05,0.837035,0.838906
0.0001220992252008239,0.837035,0.838906
5.4319291862089245e-05,0.839607,0.839607
0.00011119602331474645,0.838906,0.839607
5.801111014921274e-05,0.83914,0.839607
5.3217940366090235e-05,0.837503,0.839607
4.6907521005886705e-05,0.837503,0.839607
5.9024055502307946e-05,0.837971,0.839607
5.247443914413452e-05,0.836568,0.839607
4.734032189668114e-05,0.836568,0.839607
4.557364467364639e-05,0.837503,0.839607
5.738036846047017e-05,0.836334,0.839607
4.892384828026615e-05,0.836568,0.839607
5.243162610637608e-05,0.837971,0.839607
4.991610993200274e-05,0.837503,0.839607
6.792649849137264e-05,0.8361,0.839607
4.046821772162594e-05,0.836801,0.839607
4.919929735696138e-05,0.838438,0.839607
4.665831576532392e-05,0.836801,0.839607
5.9298726160134845e-05,0.838438,0.839607
3.9985042009780655e-05,0.838438,0.839607
7.047437465012964e-05,0.838672,0.839607
5.049836724551756e-05,0.839841,0.839841
4.716818012408356e-05,0.837971,0.839841
4.6047479359071644e-05,0.837737,0.839841
5.3129200615100005e-05,0.837737,0.839841
6.201718725375275e-05,0.838438,0.839841
4.5110596649682345e-05,0.839607,0.839841
4.665008676585867e-05,0.838204,0.839841
5.446908189289605e-05,0.837035,0.839841
5.4223991152065904e-05,0.838438,0.839841
5.009926077145249e-05,0.837035,0.839841
5.491611672871148e-05,0.836801,0.839841
4.481379665545563e-05,0.838438,0.839841
4.942025711287313e-05,0.837737,0.839841
4.821782236668601e-05,0.838438,0.839841
6.072567914848897e-05,0.837503,0.839841
4.594139198758709e-05,0.83914,0.839841
4.9013366450124714e-05,0.837503,0.839841
4.7779683746508696e-05,0.838438,0.839841
4.746464651022385e-05,0.8361,0.839841
4.73050706422151e-05,0.837035,0.839841
6.78349786729955e-05,0.838438,0.839841
4.645981895389841e-05,0.838672,0.839841
4.062668156267992e-05,0.836568,0.839841
5.633951123081037e-05,0.838438,0.839841
5.311374344042878e-05,0.83914,0.839841
4.5264056369439877e-05,0.838672,0.839841
4.153821005750058e-05,0.836568,0.839841
6.720279134921173e-05,0.836334,0.839841
6.488554958087294e-05,0.838438,0.839841
5.125209911545711e-05,0.836334,0.839841
4.324472662228257e-05,0.8361,0.839841
4.47945585891382e-05,0.837269,0.839841
4.934608491499033e-05,0.837737,0.839841
6.78515478746215e-05,0.83914,0.839841
7.397492430103359e-05,0.837503,0.839841
4.565560106021255e-05,0.838204,0.839841
4.422976009881319e-05,0.837503,0.839841
4.774154122196027e-05,0.839607,0.839841
4.774087400578741e-05,0.837737,0.839841
4.821348546156243e-05,0.837503,0.839841
4.996793038809477e-05,0.837503,0.839841
4.8038563621577933e-05,0.838672,0.839841
4.987440892119906e-05,0.837737,0.839841
5.1066057005924966e-05,0.838672,0.839841
4.496936922642722e-05,0.8361,0.839841
5.0941843595077744e-05,0.837971,0.839841
4.6930206355763904e-05,0.836801,0.839841
3.653976009852851e-05,0.837269,0.839841
4.436387054955782e-05,0.837971,0.839841
5.220110291865335e-05,0.837269,0.839841
4.7301734561350806e-05,0.836801,0.839841
4.380618903174329e-05,0.838438,0.839841
4.486250343607433e-05,0.836568,0.839841
6.142792417042291e-05,0.837035,0.839841
5.669324700512103e-05,0.837269,0.839841
5.5563538821775524e-05,0.837269,0.839841
5.2261263576906117e-05,0.838438,0.839841
5.756051682714206e-05,0.835866,0.839841
5.0630142439657184e-05,0.835632,0.839841
