7.751999,0.635258,0.8727122171459911,687.9286656459915
6.560706,0.610007,0.8035682396075436,575.7137783157491
6.361933,0.625906,0.7555139138041256,560.641911187573
6.202803,0.640168,0.7127421360706615,549.0060647839698
6.121342,0.676409,0.6839315506620942,543.741063312281
6.039414,0.707505,0.6548893299336745,538.4524516168042
5.998001,0.635492,0.6347548895350127,536.3245951714916
5.929209,0.739771,0.6179158863063171,531.1292809602256
5.84854,0.719663,0.5893865833633414,525.9153906135915
5.819633,0.69979,0.5838658650762567,523.5767064745181
5.790223,0.751695,0.5704975525491706,521.9725255092728
5.729359,0.757307,0.5498292215098844,517.953004755038
5.699686,0.739303,0.5369237891285219,516.2762360474774
5.700573,0.758008,0.5422186867098941,515.8354156779352
5.662354,0.752397,0.5243647296573514,513.7989038200022
5.627454,0.764321,0.5159177515272783,511.1536220087069
5.596992,0.748188,0.509385394311954,508.76065074885
5.566905,0.76245,0.49301830183401285,507.38864934333014
5.532574,0.787468,0.4876097705041137,504.49647815739996
train_epoch,200
